Source,Target,Weight
#redebbb,#teammarcelinho,16
#marcelinhonobbb,#redebbb,13
#marcelinhonobbb,#teammarcelinho,13
#realityshow,#tv,13
#ibahia,#tv,13
#ibahia,#realityshow,13
#redebbb,#teammarcelo,11
#ibahia,#tvglobo,11
#marcelinhonobbb,#teammarcelo,11
#realityshow,#tvglobo,11
#tv,#tvglobo,11
#teammarcelinho,#teammarcelo,11
#maratonabigday,#redebbb,10
#maratonabigday,#teammarcelinho,9
#maratonabigday,#marcelinhonobbb,9
#maratonabigday,#teammarcelo,7
#maratonabigday,#pipocabbb,6
#marcelinhonobbb,#pipocabbb,6
#pipocabbb,#redebbb,6
#pipocabbb,#teammarcelinho,6
#casadevidro,#seleçãobbb,5
#julianofloss,#realityshow,4
#pipocabbb,#teammarcelo,4
#brigido,#ibahia,4
#ibahia,#julianofloss,4
#julianofloss,#tvglobo,4
#julianofloss,#tv,4
#casadevidro,#redebbb,4
#pedro,#tvglobo,3
#globo,#realityshow,3
#globo,#ibahia,3
#milena,#tvglobo,3
#pedro,#tv,3
#pedro,#realityshow,3
#ibahia,#milena,3
#milena,#tv,3
#globo,#tv,3
#ibahia,#pedro,3
#webtv,#webtvbrasileira,3
#milena,#realityshow,3
#forababu,#redebbb,2
#globo,#tvglobo,2
#casadevidro,#teammarcelinho,2
#casadevidro,#marcelinhonobbb,2
#casadevidro,#maratonabigday,2
#casadevidro,#teammarcelo,2
#julianofloss,#pedro,2
