node,frequency,degree,weighted_degree,betweenness,modularity_class
#redebbb,71,7,62,0.030303030303030304,0
#teammarcelinho,16,6,57,0.0,0
#ibahia,21,8,54,0.032467532467532464,2
#marcelinhonobbb,13,6,54,0.0,0
#realityshow,13,7,50,0.0021645021645021645,2
#tv,13,7,50,0.0021645021645021645,2
#teammarcelo,11,6,46,0.008658008658008658,0
#tvglobo,11,7,45,0.015151515151515152,2
#maratonabigday,16,6,43,0.0,0
#pipocabbb,6,5,28,0.0,0
#julianofloss,4,5,18,0.0,2
#casadevidro,16,6,17,0.09090909090909091,0
#pedro,3,5,14,0.007215007215007214,2
#milena,4,4,12,0.007215007215007214,2
#globo,3,4,11,0.02453102453102453,2
#seleçãobbb,5,1,5,0.0,0
#brigido,4,1,4,0.0,2
#webtvbrasileira,3,1,3,0.0,3
#webtv,3,1,3,0.0,3
#forababu,5,1,2,0.0,0
#alereality,26,0,0,0.0,1
#cnnpop,9,0,0,0.0,4
#teambabu,4,0,0,0.0,5
