Id,Label,Type,Frequency
paula,paula,word,139
ana,ana,word,135
milena,milena,word,80
pedro,pedro,word,75
babu,babu,word,70
juliano,juliano,word,66
floss,floss,word,64
jordana,jordana,word,63
sarah,sarah,word,61
samira,samira,word,60
cowboy,cowboy,word,57
alberto,alberto,word,49
casa,casa,word,45
brigido,brigido,word,44
renault,renault,word,41
ser,ser,word,39
leandro,leandro,word,37
aline,aline,word,35
prova,prova,word,28
líder,líder,word,27
ter,ter,word,26
gente,gente,word,23
brígido,brígido,word,21
falando,falando,word,20
cara,cara,word,19
2026,2026,word,18
ver,ver,word,18
reality,reality,word,17
entre,entre,word,17
sair,sair,word,17
sendo,sendo,word,17
após,após,word,16
deus,deus,word,16
edição,edição,word,16
vidro,vidro,word,16
entretenimento,entretenimento,word,16
pode,pode,word,16
jonas,jonas,word,16
últimos,últimos,word,16
falar,falar,word,16
gabriela,gabriela,word,15
minutos,minutos,word,15
fazer,fazer,word,15
chaiany,chaiany,word,15
sol,sol,word,15
matheus,matheus,word,15
nada,nada,word,14
primeira,primeira,word,14
são,são,word,13
tudo,tudo,word,13
vez,vez,word,13
entrar,entrar,word,13
veja,veja,word,13
programa,programa,word,13
social,social,word,13
anos,anos,word,13
vou,vou,word,13
anúncio,anúncio,word,12
into,into,word,12
bsky,bsky,word,12
vem,vem,word,12
quarto,quarto,word,12
acho,acho,word,12
dentro,dentro,word,12
nunca,nunca,word,12
posted,posted,word,12
itens,itens,word,12
assédio,assédio,word,11
sena,sena,word,11
fez,fez,word,11
solange,solange,word,11
participante,participante,word,11
novo,novo,word,11
breno,breno,word,11
quer,quer,word,11
show,show,word,11
causa,causa,word,11
marina,marina,word,11
sabe,sabe,word,10
parece,parece,word,10
ganhar,ganhar,word,10
ofuxico,ofuxico,word,10
alguém,alguém,word,10
sou,sou,word,10
quero,quero,word,10
vamos,vamos,word,9
faz,faz,word,9
pipocamoderna,pipocamoderna,word,9
briga,briga,word,9
primeiro,primeiro,word,9
paredão,paredão,word,9
disse,disse,word,9
torcida,torcida,word,9
santana,santana,word,9
puta,puta,word,9
volta,volta,word,9
veteranos,veteranos,word,9
dia,dia,word,9
falou,falou,word,9
beijar,beijar,word,9
diz,diz,word,9
castelli,castelli,word,8
andrade,andrade,word,8
mundo,mundo,word,8
achei,achei,word,8
marciele,marciele,word,8
vendo,vendo,word,8
gostei,gostei,word,8
entrou,entrou,word,8
brasil,brasil,word,8
flipboardbr,flipboardbr,word,8
homem,homem,word,8
pódio,pódio,word,8
pessoas,pessoas,word,8
teve,teve,word,8
henri,henri,word,8
fora,fora,word,8
tia,tia,word,8
sempre,sempre,word,8
vídeo,vídeo,word,8
assim,assim,word,8
começou,começou,word,7
final,final,word,7
assistir,assistir,word,7
amo,amo,word,7
ano,ano,word,7
coisa,coisa,word,7
sul,sul,word,7
mulheres,mulheres,word,7
jogo,jogo,word,7
entra,entra,word,7
nao,nao,word,7
outro,outro,word,7
povo,povo,word,7
enquanto,enquanto,word,7
espero,espero,word,7
será,será,word,7
vida,vida,word,7
maior,maior,word,7
uol,uol,word,7
natelinha,natelinha,word,7
chorando,chorando,word,7
branco,branco,word,7
vivo,vivo,word,7
norte,norte,word,7
merda,merda,word,7
comigo,comigo,word,7
ibahia,ibahia,word,6
queria,queria,word,6
lado,lado,word,6
conheça,conheça,word,6
despensa,despensa,word,6
twink,twink,word,6
diversao,diversao,word,6
momento,momento,word,6
teria,teria,word,6
campos,campos,word,6
outros,outros,word,6
realmente,realmente,word,6
ricardinho,ricardinho,word,6
vezes,vezes,word,6
fim,fim,word,6
kkkkkk,kkkkkk,word,6
fazendo,fazendo,word,6
sim,sim,word,6
participantes,participantes,word,6
grande,grande,word,6
confira,confira,word,6
interessante,interessante,word,6
alemão,alemão,word,6
fala,fala,word,6
antes,antes,word,6
tivesse,tivesse,word,6
dona,dona,word,6
prêmio,prêmio,word,6
fosse,fosse,word,6
acha,acha,word,6
horas,horas,word,6
nome,nome,word,6
crime,crime,word,6
chegou,chegou,word,6
olha,olha,word,6
dar,dar,word,6
colocou,colocou,word,6
legendário,legendário,word,6
seja,seja,word,5
marcelo,marcelo,word,5
camarote,camarote,word,5
casal,casal,word,5
couto,couto,word,5
vilão,vilão,word,5
deu,deu,word,5
passou,passou,word,5
tenho,tenho,word,5
sexual,sexual,word,5
cinema,cinema,word,5
acompanhar,acompanhar,word,5
época,época,word,5
mira,mira,word,5
vence,vence,word,5
público,público,word,5
resistência,resistência,word,5
sente,sente,word,5
web,web,word,5
jeito,jeito,word,5
caso,caso,word,5
passar,passar,word,5
ficar,ficar,word,5
qualquer,qualquer,word,5
semana,semana,word,5
plateia,plateia,word,5
história,história,word,5
durante,durante,word,5
frente,frente,word,5
mulher,mulher,word,5
ontem,ontem,word,5
tentando,tentando,word,5
precisa,precisa,word,5
pegar,pegar,word,5
treta,treta,word,5
riscado,riscado,word,5
jura,jura,word,5
planta,planta,word,5
ganhe,ganhe,word,5
mto,mto,word,5
dinâmica,dinâmica,word,5
maxiane,maxiane,word,5
odeio,odeio,word,5
desistiu,desistiu,word,5
família,família,word,5
força,força,word,5
chamando,chamando,word,5
expulso,expulso,word,5
forma,forma,word,5
tentar,tentar,word,5
equipe,equipe,word,5
gil,gil,word,5
